Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,
1.18E-07,2.82,7.40E-08,1.92E-07,
1.12E-07,2.41,8.00E-08,1.92E-07,
7.40E-08,2.01,1.16E-07,1.90E-07,
1.34E-07,3.21,6.20E-08,1.96E-07,
7.80E-08,2.01,1.16E-07,1.94E-07,
