Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,
1.94E-07,2.01,1.10E-07,3.04E-07,
2.20E-07,2.41,9.40E-08,3.14E-07,
2.30E-07,2.82,7.00E-08,3.00E-07,
2.30E-07,3.21,5.80E-08,2.88E-07,
