Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,
2.20E-07,2.01,1.14E-07,3.34E-07,
2.22E-07,2.41,9.80E-08,3.20E-07,
2.26E-07,2.82,7.40E-08,3.00E-07,
2.28E-07,3.21,6.60E-08,2.94E-07,
