Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,Note
2.02E-07,2.01MHz,1.12E-07,3.14E-07,"Curser 1 yellow, curser 2 blue"
2.06E-07,2.41MHz,1.00E-07,3.06E-07,
2.10E-07,2.82MHz,8.20E-08,2.92E-07,
2.12E-07,3.21MHz,7.00E-08,2.82E-07,
0,,,,
