Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,
2.12E-07,2.01,1.14E-07,3.26E-07,
2.14E-07,2.41,9.40E-08,3.08E-07,
2.14E-07,2.82,8.00E-08,2.94E-07,
2.26E-07,3.21,7.60E-08,3.02E-07,
