Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,
1.60E-07,3.29,-7.12E-07,-5.52E-07,
1.48E-07,2.41,-7.48E-07,-6.00E-07,
1.64E-07,1.65,-5.08E-07,-3.44E-07,
1.88E-07,1.36,-6.00E-07,-4.12E-07,
1.48E-07,3.73,-4.88E-07,-3.40E-07,
1.32E-07,4.14,-4.32E-07,-3.00E-07,
1.24E-07,4.56,-3.92E-07,-2.68E-07,
1.52E-07,2.81,-6.52E-07,-5.00E-07,
1.42E-07,2.21,-3.56E-07,-2.14E-07,
1.44E-07,2.01,-3.52E-07,-2.08E-07,
