Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,
8.60E-08,2.01,1.16E-07,2.02E-07,
1.12E-07,2.41,1.02E-07,2.14E-07,
1.36E-07,2.82,7.60E-08,2.12E-07,
1.70E-07,3.21,6.40E-08,2.34E-07,
